Run,Time
1,"397.114,00"
2,"523.810,00"
3,"423.726,00"
4,"557.860,00"
5,"546.782,00"
6,"449.712,00"
7,"532.795,00"
8,"576.947,00"
9,"575.083,00"
10,"499.198,00"
11,"407.606,00"
12,"524.898,00"
13,"556.274,00"
14,"565.040,00"
15,"450.652,00"
16,"483.780,00"
17,"402.563,00"
18,NaN
19,"630.007,00"
20,"638.972,00"
21,"467.687,00"
22,"468.597,00"
23,"443.653,00"
24,"482.751,00"
25,"537.115,00"
26,"564.125,00"
27,"571.820,00"
28,"477.791,00"
29,"539.843,00"
30,"419.821,00"
31,"500.833,00"
32,"553.162,00"
33,"534.833,00"
34,"553.860,00"
35,"484.820,00"
36,"558.913,00"
37,"405.641,00"
38,"567.901,00"
39,"530.124,00"
40,"567.883,00"
41,"596.179,00"
42,"574.328,00"
43,"564.186,00"
44,"541.035,00"
45,"564.014,00"
46,"426.673,00"
47,"484.703,00"
48,"513.720,00"
49,"506.823,00"
50,"514.789,00"
,
Mean,"515.519,22"
Median,"530.124,00"