Run,Time,
1,"266.326,00",
2,"266.309,00",
3,"265.517,00",
4,"282.390,00",
5,"265.269,00",
6,"267.380,00",
7,"265.455,00",
8,"267.490,00",
9,"266.436,00",
10,"269.344,00",
11,"268.365,00",
12,"265.509,00",
13,"265.348,00",
14,"270.388,00",
15,"267.220,00",
16,"266.355,00",
17,"297.418,00",
18,"656.088,00",
19,"269.304,00",
20,"298.706,00",
21,"268.355,00",
22,"268.355,00",
23,NaN,
24,"265.469,00",
25,"267.250,00",
26,"267.546,00",
27,"265.370,00",
28,"268.334,00",
29,"268.387,00",
30,"268.446,00",
31,"265.337,00",
32,"264.546,00",
33,"267.327,00",
34,"270.381,00",
35,"265.728,00",
36,"268.436,00",
37,"267.339,00",
38,"270.433,00",
39,"268.338,00",
40,"275.442,00",
41,"266.400,00",
42,"267.340,00",
43,"265.416,00",
44,"264.394,00",
45,"268.518,00",
46,"267.383,00",
47,"280.095,00",
48,"268.319,00",
49,"267.276,00",
50,"589.936,00",
,,
Mean,"283.724,76",264394
Median,"267.383,00",656088